Shipment_ID,Supplier,Distance,Lead_Time,Weather,Inventory,Transport_Cost,Delayed
104,SupplierB,367,5,Storm,222,4742,1
105,SupplierA,81,1,Clear,96,4306,0
106,SupplierE,719,1,Cloudy,189,6849,1
107,SupplierC,334,8,Cloudy,295,15360,0
108,SupplierD,354,12,Rain,198,15768,1
109,SupplierC,478,8,Clear,295,16032,0
110,SupplierC,526,12,Rain,444,7195,1
111,SupplierA,335,6,Clear,54,24562,0
112,SupplierC,193,12,Cloudy,233,21939,1
113,SupplierE,473,11,Cloudy,69,21689,1
114,SupplierC,68,13,Cloudy,474,10619,1
115,SupplierA,67,4,Clear,95,12280,0
116,SupplierE,818,2,Cloudy,61,5642,1
117,SupplierB,639,14,Clear,119,12369,1
118,SupplierC,420,2,Rain,66,17296,1
119,SupplierA,224,9,Clear,420,18438,1
120,SupplierB,243,5,Rain,196,18674,1
121,SupplierB,551,4,Clear,203,7757,0
122,SupplierD,162,10,Rain,353,5994,1
123,SupplierE,163,13,Cloudy,157,18226,1
124,SupplierC,271,1,Rain,285,4271,1
125,SupplierA,727,7,Cloudy,357,4813,1
126,SupplierD,996,3,Cloudy,401,21845,1
127,SupplierE,880,6,Rain,119,23504,1
128,SupplierD,693,5,Clear,232,11475,1
129,SupplierE,946,5,Clear,299,7396,1
130,SupplierE,313,11,Storm,277,12283,1
131,SupplierC,974,5,Clear,151,16318,1
132,SupplierE,104,1,Storm,124,20200,1
133,SupplierD,920,1,Clear,466,3082,1
134,SupplierE,692,3,Clear,495,4920,1
135,SupplierC,849,14,Cloudy,265,10817,1
136,SupplierC,827,12,Storm,456,14683,1
137,SupplierD,507,10,Clear,448,14336,1
138,SupplierB,927,4,Storm,460,18596,1
139,SupplierB,211,5,Cloudy,252,5093,0
140,SupplierE,429,2,Cloudy,241,15905,0
141,SupplierA,136,8,Storm,298,11367,1
142,SupplierE,104,11,Cloudy,291,8285,1
143,SupplierD,525,11,Rain,228,13896,1
144,SupplierD,849,14,Rain,486,7937,1
145,SupplierD,227,2,Cloudy,268,19753,0
146,SupplierD,440,9,Rain,131,21202,1
147,SupplierD,398,2,Clear,141,21485,0
148,SupplierC,57,13,Storm,484,15977,1
149,SupplierB,882,9,Clear,224,22874,1
150,SupplierD,362,7,Storm,288,21163,1
151,SupplierA,808,8,Cloudy,309,10674,1
152,SupplierA,884,11,Clear,440,20748,1
153,SupplierA,492,2,Cloudy,414,6676,0
154,SupplierA,816,7,Cloudy,212,5426,1
155,SupplierC,377,12,Storm,97,5962,1
156,SupplierA,103,6,Storm,378,3859,1
157,SupplierD,810,4,Storm,377,15048,1
158,SupplierE,288,7,Clear,165,7138,0
159,SupplierA,278,14,Rain,478,5424,1
160,SupplierC,628,13,Storm,386,13409,1
161,SupplierC,100,4,Storm,386,7017,1
162,SupplierA,658,2,Clear,418,13451,1
163,SupplierE,653,10,Storm,274,13278,1
164,SupplierA,313,12,Clear,401,13996,1
165,SupplierC,467,7,Cloudy,377,4134,0
166,SupplierB,852,8,Storm,196,24550,1
167,SupplierD,145,2,Storm,112,8119,1
168,SupplierC,137,5,Cloudy,343,8694,0
169,SupplierA,127,1,Cloudy,372,24869,0
170,SupplierD,337,7,Cloudy,492,7164,0
171,SupplierA,169,8,Storm,374,21730,1
172,SupplierA,863,13,Rain,62,8039,1
173,SupplierB,540,6,Rain,480,24281,1
174,SupplierD,961,5,Rain,238,17631,1
175,SupplierD,501,6,Storm,336,13442,1
176,SupplierB,549,2,Cloudy,257,11252,0
177,SupplierC,214,1,Storm,163,24425,1
178,SupplierA,231,7,Cloudy,71,23285,0
179,SupplierE,518,7,Storm,398,20721,1
180,SupplierA,959,10,Storm,263,20568,1
181,SupplierA,784,11,Cloudy,220,23810,1
182,SupplierC,872,10,Rain,372,4551,1
183,SupplierA,993,14,Cloudy,103,15625,1
184,SupplierB,56,2,Clear,443,4629,0
185,SupplierB,379,2,Clear,347,20910,0
186,SupplierD,824,1,Cloudy,369,4361,1
187,SupplierE,722,10,Storm,175,7370,1
188,SupplierA,200,8,Clear,326,8283,0
189,SupplierA,134,8,Clear,253,10610,0
190,SupplierC,196,1,Storm,243,13558,1
191,SupplierB,673,12,Storm,218,17924,1
192,SupplierE,430,11,Rain,201,17839,1
193,SupplierD,964,8,Storm,84,14949,1
194,SupplierB,597,9,Cloudy,233,13626,1
195,SupplierD,334,14,Cloudy,335,4993,1
196,SupplierC,749,4,Rain,106,3869,1
197,SupplierC,131,1,Clear,271,4014,0
198,SupplierA,563,1,Clear,352,13103,0
199,SupplierE,946,3,Storm,212,19986,1
200,SupplierD,864,14,Cloudy,68,15013,1
201,SupplierB,758,5,Clear,419,3690,1
202,SupplierC,965,5,Rain,313,19873,1
203,SupplierA,572,9,Rain,331,13748,1
204,SupplierA,795,10,Cloudy,162,11024,1
205,SupplierD,435,14,Rain,376,19678,1
206,SupplierC,756,12,Rain,79,8488,1
207,SupplierE,520,2,Cloudy,184,23411,0
208,SupplierC,168,2,Storm,116,14035,1
209,SupplierD,445,6,Storm,114,22296,1
210,SupplierD,581,9,Rain,341,24128,1
211,SupplierC,310,1,Storm,74,21257,1
212,SupplierD,854,9,Storm,86,15855,1
213,SupplierC,983,9,Rain,50,22642,1
214,SupplierB,305,13,Storm,448,5817,1
215,SupplierC,783,9,Rain,86,23025,1
216,SupplierC,954,5,Clear,190,7458,1
217,SupplierD,275,13,Cloudy,281,8307,1
218,SupplierD,102,9,Cloudy,185,11933,1
219,SupplierA,989,11,Storm,438,21425,1
220,SupplierA,916,4,Storm,237,20063,1
221,SupplierB,549,2,Storm,177,13659,1
222,SupplierA,555,13,Cloudy,250,8738,1
223,SupplierC,903,6,Clear,176,8668,1
224,SupplierD,413,14,Clear,306,17427,1
225,SupplierA,329,4,Cloudy,213,10697,0
226,SupplierA,642,6,Clear,84,19446,1
227,SupplierB,763,3,Cloudy,243,10829,1
228,SupplierB,207,6,Clear,240,13751,0
229,SupplierC,681,2,Rain,153,16450,1
230,SupplierD,108,2,Rain,72,10352,1
231,SupplierB,776,13,Cloudy,314,16516,1
232,SupplierA,177,9,Clear,339,11326,1
233,SupplierD,785,7,Storm,479,6644,1
234,SupplierD,770,3,Clear,433,24354,1
235,SupplierA,931,13,Rain,309,11003,1
236,SupplierB,164,11,Rain,463,6278,1
237,SupplierA,258,1,Clear,407,10296,0
238,SupplierD,575,8,Clear,124,6074,0
239,SupplierE,570,14,Storm,404,16261,1
240,SupplierE,601,6,Storm,121,14173,1
241,SupplierC,286,7,Clear,308,11312,0
242,SupplierA,330,9,Clear,447,4637,1
243,SupplierA,408,5,Clear,237,16652,0
244,SupplierC,250,1,Clear,222,8103,0
245,SupplierC,807,12,Cloudy,339,20028,1
246,SupplierC,327,10,Clear,94,5032,1
247,SupplierD,284,7,Storm,110,5761,1
248,SupplierA,543,5,Rain,132,18195,1
249,SupplierD,53,3,Cloudy,172,21452,0
250,SupplierC,715,12,Clear,407,19625,1
251,SupplierA,491,13,Rain,65,5668,1
252,SupplierD,78,9,Cloudy,115,17638,1
253,SupplierD,158,1,Rain,473,18954,1
254,SupplierC,659,1,Clear,194,20186,1
255,SupplierA,776,1,Clear,424,24443,1
256,SupplierC,854,3,Storm,211,15356,1
257,SupplierA,124,12,Clear,283,3195,1
258,SupplierE,887,6,Clear,429,5187,1
259,SupplierB,195,10,Cloudy,193,14707,1
260,SupplierB,177,11,Storm,407,5330,1
261,SupplierB,902,3,Cloudy,237,24225,1
262,SupplierC,91,8,Rain,371,6606,1
263,SupplierE,405,14,Clear,499,3060,1
264,SupplierA,90,14,Rain,62,17387,1
265,SupplierD,983,10,Cloudy,233,6927,1
266,SupplierA,83,2,Clear,160,9296,0
267,SupplierD,66,14,Clear,464,16622,1
268,SupplierA,726,9,Cloudy,339,17125,1
269,SupplierE,202,3,Cloudy,344,5591,0
270,SupplierD,427,5,Cloudy,441,15127,0
271,SupplierC,637,10,Cloudy,264,18748,1
272,SupplierA,648,8,Cloudy,169,9121,1
273,SupplierA,678,2,Clear,431,4200,1
274,SupplierD,923,6,Cloudy,104,18721,1
275,SupplierC,391,12,Clear,76,22238,1
276,SupplierC,76,5,Clear,167,14087,0
277,SupplierE,874,13,Cloudy,270,9972,1
278,SupplierC,336,10,Cloudy,280,3136,1
279,SupplierC,695,9,Storm,102,20413,1
280,SupplierC,780,12,Clear,344,18346,1
281,SupplierB,217,5,Cloudy,370,21978,0
282,SupplierE,659,2,Cloudy,450,3661,1
283,SupplierA,317,5,Cloudy,282,5472,0
284,SupplierD,798,12,Storm,207,3086,1
285,SupplierA,870,4,Storm,486,13704,1
286,SupplierE,504,11,Rain,318,9219,1
287,SupplierD,955,7,Clear,70,19322,1
288,SupplierE,734,6,Rain,452,17749,1
289,SupplierC,450,14,Cloudy,102,9968,1
290,SupplierD,971,2,Storm,324,22157,1
291,SupplierC,525,12,Storm,362,16596,1
292,SupplierA,751,11,Rain,330,4700,1
293,SupplierA,683,11,Storm,263,5700,1
294,SupplierD,607,13,Cloudy,80,14821,1
295,SupplierD,625,5,Storm,386,21031,1
296,SupplierE,179,7,Rain,232,24548,1
297,SupplierE,871,11,Cloudy,72,8520,1
298,SupplierC,412,7,Rain,81,14510,1
299,SupplierD,754,5,Storm,495,6687,1
300,SupplierA,868,12,Rain,123,19980,1
301,SupplierE,742,9,Rain,59,23929,1
302,SupplierE,341,4,Clear,103,11837,0
303,SupplierA,420,11,Storm,101,17955,1
304,SupplierE,843,3,Storm,197,14281,1
305,SupplierC,78,4,Rain,209,16917,1
306,SupplierD,198,5,Clear,419,7757,0
307,SupplierA,828,13,Storm,63,16045,1
308,SupplierD,345,6,Cloudy,227,23768,0
309,SupplierE,60,3,Rain,461,11912,1
310,SupplierE,561,2,Storm,415,7733,1
311,SupplierA,725,14,Cloudy,102,10081,1
312,SupplierC,162,13,Storm,457,11690,1
313,SupplierB,236,4,Cloudy,384,24113,0
314,SupplierA,856,5,Rain,71,4673,1
315,SupplierB,793,4,Storm,79,17318,1
316,SupplierB,276,14,Storm,240,14171,1
317,SupplierC,359,11,Clear,309,16545,1
318,SupplierB,147,13,Rain,254,14803,1
319,SupplierB,104,12,Cloudy,108,5294,1
320,SupplierC,672,3,Storm,313,6630,1
321,SupplierB,713,8,Storm,61,18093,1
322,SupplierB,807,10,Cloudy,168,19530,1
323,SupplierB,455,4,Rain,464,17453,1
324,SupplierA,118,14,Clear,339,15174,1
325,SupplierA,361,2,Clear,387,6453,0
326,SupplierA,338,2,Storm,297,7507,1
327,SupplierC,811,1,Cloudy,403,13602,1
328,SupplierE,597,13,Storm,176,8628,1
329,SupplierB,800,4,Cloudy,124,11328,1
330,SupplierB,197,10,Clear,410,18534,1
331,SupplierC,516,9,Rain,253,22744,1
332,SupplierB,788,14,Cloudy,98,22389,1
333,SupplierA,293,11,Clear,128,6552,1
334,SupplierE,540,7,Storm,490,19402,1
335,SupplierD,898,12,Cloudy,290,5242,1
336,SupplierB,556,10,Rain,398,17665,1
337,SupplierA,414,7,Storm,203,8097,1
338,SupplierD,531,13,Storm,323,11640,1
339,SupplierE,250,7,Clear,145,4948,0
340,SupplierD,203,8,Cloudy,263,8618,0
341,SupplierA,499,1,Storm,343,7236,1
342,SupplierD,550,10,Rain,258,4920,1
343,SupplierC,122,13,Cloudy,392,14169,1
344,SupplierD,762,10,Rain,137,7188,1
345,SupplierB,345,8,Storm,355,15207,1
346,SupplierB,66,4,Rain,313,3238,1
347,SupplierC,690,4,Clear,474,3204,1
348,SupplierA,266,4,Rain,439,13799,1
349,SupplierB,110,6,Cloudy,374,8552,0
350,SupplierE,988,7,Rain,477,7927,1
351,SupplierB,665,6,Rain,426,14164,1
352,SupplierB,91,1,Clear,369,7390,0
353,SupplierA,74,12,Rain,206,22071,1
354,SupplierD,88,8,Rain,205,24335,1
355,SupplierB,852,13,Storm,188,18641,1
356,SupplierC,180,10,Storm,170,9160,1
357,SupplierD,547,11,Cloudy,114,24772,1
358,SupplierE,278,13,Storm,156,18810,1
359,SupplierA,157,7,Storm,196,8126,1
360,SupplierE,221,6,Storm,186,3816,1
361,SupplierD,484,6,Storm,460,16414,1
362,SupplierD,527,5,Clear,211,3192,0
363,SupplierD,151,6,Storm,477,21160,1
364,SupplierE,915,12,Clear,149,6645,1
365,SupplierD,573,9,Clear,387,15816,1
366,SupplierE,324,10,Storm,448,9314,1
367,SupplierD,662,9,Rain,356,21172,1
368,SupplierC,93,10,Clear,190,10374,1
369,SupplierD,866,8,Rain,132,6700,1
370,SupplierE,66,10,Rain,226,13655,1
371,SupplierB,379,9,Storm,247,18129,1
372,SupplierD,618,13,Cloudy,161,12359,1
373,SupplierB,872,10,Storm,105,6893,1
374,SupplierC,546,8,Cloudy,228,9811,0
375,SupplierA,864,8,Cloudy,470,12288,1
376,SupplierC,61,1,Storm,450,22063,1
377,SupplierD,367,10,Storm,235,23288,1
378,SupplierB,641,11,Cloudy,267,3504,1
379,SupplierB,265,5,Storm,462,12813,1
380,SupplierE,388,4,Cloudy,466,17671,0
381,SupplierB,825,2,Rain,365,13738,1
382,SupplierE,710,8,Storm,266,14186,1
383,SupplierA,130,3,Rain,169,9773,1
384,SupplierD,776,4,Clear,488,6816,1
385,SupplierE,534,12,Rain,443,3717,1
386,SupplierA,423,7,Rain,224,14676,1
387,SupplierB,759,10,Cloudy,72,7434,1
388,SupplierB,249,9,Rain,262,20042,1
389,SupplierA,586,2,Storm,454,8057,1
390,SupplierB,515,3,Cloudy,284,23392,0
391,SupplierA,138,4,Clear,62,7994,0
392,SupplierE,317,10,Storm,150,7234,1
393,SupplierE,704,1,Clear,466,6764,1
394,SupplierA,620,7,Rain,73,14181,1
395,SupplierE,971,2,Storm,413,7637,1
396,SupplierE,538,5,Storm,60,5104,1
397,SupplierE,926,1,Clear,322,12447,1
398,SupplierC,587,3,Storm,480,13674,1
399,SupplierD,96,12,Storm,330,21991,1
400,SupplierB,337,2,Storm,143,11385,1
401,SupplierC,827,1,Rain,250,14999,1
402,SupplierE,65,7,Clear,70,6719,0
403,SupplierA,760,5,Storm,389,5581,1
404,SupplierE,450,1,Cloudy,260,21949,0
405,SupplierD,968,6,Cloudy,189,5763,1
406,SupplierE,843,5,Cloudy,342,8991,1
407,SupplierA,135,3,Cloudy,347,13531,0
408,SupplierD,299,12,Rain,450,22790,1
409,SupplierE,440,7,Storm,150,14064,1
410,SupplierD,831,11,Clear,353,14312,1
411,SupplierB,384,10,Storm,408,7780,1
412,SupplierB,678,9,Rain,77,7177,1
413,SupplierE,568,14,Cloudy,90,18169,1
414,SupplierD,186,13,Rain,404,9476,1
415,SupplierA,932,13,Storm,352,21988,1
416,SupplierE,737,9,Clear,195,5382,1
417,SupplierB,889,14,Rain,305,19915,1
418,SupplierB,547,9,Clear,276,15508,1
419,SupplierE,876,2,Rain,285,3634,1
420,SupplierD,776,3,Clear,410,14996,1
421,SupplierB,526,7,Clear,429,17162,0
422,SupplierD,643,5,Cloudy,62,19386,1
423,SupplierB,272,2,Clear,259,17005,0
424,SupplierB,421,3,Cloudy,278,11397,0
425,SupplierC,984,10,Storm,446,15327,1
426,SupplierB,451,6,Storm,149,17394,1
427,SupplierA,492,13,Cloudy,80,5890,1
428,SupplierE,539,7,Cloudy,435,13858,0
429,SupplierE,664,9,Rain,65,11026,1
430,SupplierD,322,1,Rain,186,6306,1
431,SupplierB,575,11,Rain,378,3897,1
432,SupplierA,208,7,Storm,215,12277,1
433,SupplierD,201,8,Rain,359,12471,1
434,SupplierC,669,12,Clear,489,17896,1
435,SupplierD,237,14,Clear,149,18240,1
436,SupplierD,862,3,Rain,158,17683,1
437,SupplierB,147,4,Clear,392,3670,0
438,SupplierC,180,10,Storm,222,20889,1
439,SupplierD,854,6,Clear,286,14767,1
440,SupplierA,220,10,Storm,211,16006,1
441,SupplierA,985,7,Cloudy,442,24551,1
442,SupplierE,232,13,Cloudy,265,18768,1
443,SupplierC,413,14,Cloudy,313,24639,1
444,SupplierC,88,4,Cloudy,312,19633,0
445,SupplierE,576,8,Clear,341,4892,0
446,SupplierD,937,5,Rain,323,6439,1
447,SupplierC,546,1,Clear,52,5854,0
448,SupplierA,565,4,Storm,77,14577,1
449,SupplierA,398,3,Clear,375,14763,0
450,SupplierB,970,9,Clear,477,23176,1
451,SupplierC,446,8,Storm,198,14618,1
452,SupplierD,771,1,Cloudy,77,24714,1
453,SupplierE,210,11,Cloudy,359,11235,1
454,SupplierE,65,6,Cloudy,487,22996,0
455,SupplierD,542,9,Rain,114,5618,1
456,SupplierB,475,7,Storm,405,24062,1
457,SupplierE,157,4,Storm,70,6163,1
458,SupplierC,943,13,Clear,301,5942,1
459,SupplierB,499,1,Rain,284,4925,1
460,SupplierC,360,12,Cloudy,276,5972,1
461,SupplierA,788,2,Rain,62,14705,1
462,SupplierB,219,12,Storm,362,13640,1
463,SupplierE,595,5,Storm,98,13966,1
464,SupplierB,463,12,Clear,167,20374,1
465,SupplierB,300,11,Clear,103,14138,1
466,SupplierB,808,5,Storm,187,21196,1
467,SupplierB,830,8,Cloudy,102,18935,1
468,SupplierC,190,6,Cloudy,93,16145,0
469,SupplierA,323,8,Rain,352,3489,1
470,SupplierD,465,2,Storm,102,14748,1
471,SupplierB,657,3,Storm,123,23029,1
472,SupplierE,788,6,Cloudy,95,22275,1
473,SupplierB,940,12,Cloudy,62,6516,1
474,SupplierE,88,13,Storm,214,22724,1
475,SupplierC,863,10,Clear,151,9410,1
476,SupplierE,78,3,Storm,329,3053,1
477,SupplierD,526,6,Storm,307,21959,1
478,SupplierA,367,6,Cloudy,386,19999,0
479,SupplierE,294,2,Cloudy,405,8944,0
480,SupplierE,797,7,Clear,447,10404,1
481,SupplierA,746,12,Clear,187,3954,1
482,SupplierD,321,2,Rain,212,13625,1
483,SupplierB,489,6,Storm,458,4629,1
484,SupplierE,797,1,Cloudy,436,13973,1
485,SupplierA,288,3,Clear,160,9859,0
486,SupplierC,426,2,Rain,151,11841,1
487,SupplierA,315,7,Rain,66,13539,1
488,SupplierC,975,14,Cloudy,317,15682,1
489,SupplierD,970,4,Cloudy,231,6278,1
490,SupplierB,408,8,Rain,421,24839,1
491,SupplierA,389,6,Clear,73,23185,0
492,SupplierE,438,12,Rain,78,21945,1
493,SupplierD,626,10,Storm,220,9539,1
494,SupplierA,738,4,Storm,458,19754,1
495,SupplierE,52,5,Cloudy,277,3857,0
496,SupplierA,478,13,Clear,427,7886,1
497,SupplierC,191,13,Clear,237,15945,1
498,SupplierA,425,9,Storm,395,10485,1
499,SupplierA,719,7,Rain,279,16680,1
500,SupplierA,373,10,Cloudy,370,19767,1
501,SupplierD,195,14,Rain,389,17397,1
502,SupplierA,342,14,Rain,168,13744,1
503,SupplierE,714,9,Rain,205,7334,1
504,SupplierC,481,7,Clear,321,23674,0
505,SupplierC,754,12,Storm,224,22109,1
506,SupplierA,998,1,Clear,153,15226,1
507,SupplierD,634,12,Storm,141,16440,1
508,SupplierD,448,8,Cloudy,235,18020,0
509,SupplierE,866,4,Cloudy,332,7251,1
510,SupplierA,938,3,Rain,230,15180,1
511,SupplierC,393,14,Storm,219,19140,1
512,SupplierD,189,13,Storm,236,3922,1
513,SupplierA,236,7,Storm,224,22299,1
514,SupplierD,854,12,Rain,271,10957,1
515,SupplierD,110,3,Rain,282,22430,1
516,SupplierC,988,8,Cloudy,211,18796,1
517,SupplierB,429,6,Clear,470,4230,0
518,SupplierE,759,5,Storm,183,13627,1
519,SupplierE,856,4,Storm,440,13006,1
520,SupplierC,489,8,Clear,273,7933,0
521,SupplierD,368,8,Storm,202,17295,1
522,SupplierA,351,12,Rain,82,19377,1
523,SupplierD,393,1,Rain,104,23324,1
524,SupplierC,60,9,Storm,491,3203,1
525,SupplierE,111,14,Rain,56,19544,1
526,SupplierD,894,5,Rain,293,18899,1
527,SupplierE,275,4,Storm,362,6748,1
528,SupplierA,202,6,Cloudy,175,9718,0
529,SupplierE,760,6,Clear,61,21965,1
530,SupplierE,613,2,Rain,65,4093,1
531,SupplierB,821,8,Cloudy,257,18228,1
532,SupplierB,620,7,Rain,92,23884,1
533,SupplierB,633,1,Rain,422,19034,1
534,SupplierE,709,5,Clear,184,8710,1
535,SupplierC,910,12,Rain,277,12732,1
536,SupplierE,624,6,Clear,160,22259,1
537,SupplierC,359,4,Clear,356,6191,0
538,SupplierC,934,2,Clear,209,21221,1
539,SupplierB,292,13,Cloudy,380,3689,1
540,SupplierD,542,14,Storm,313,23143,1
541,SupplierA,415,4,Cloudy,274,5103,0
542,SupplierB,379,1,Storm,266,3365,1
543,SupplierB,156,7,Storm,94,17010,1
544,SupplierD,275,2,Clear,263,14767,0
545,SupplierA,874,13,Rain,108,19103,1
546,SupplierE,267,2,Clear,181,15742,0
547,SupplierE,986,9,Rain,153,15391,1
548,SupplierB,802,5,Storm,244,7172,1
549,SupplierA,555,2,Clear,462,18623,0
550,SupplierB,308,11,Rain,206,5378,1
551,SupplierC,937,9,Cloudy,147,20589,1
552,SupplierB,823,9,Rain,275,24372,1
553,SupplierB,566,1,Clear,461,15031,0
554,SupplierE,822,11,Cloudy,254,8669,1
555,SupplierE,103,3,Rain,128,5735,1
556,SupplierE,96,4,Rain,173,12867,1
557,SupplierC,776,14,Rain,477,11490,1
558,SupplierE,738,7,Rain,267,3956,1
559,SupplierA,570,10,Rain,53,12306,1
560,SupplierD,148,4,Cloudy,139,9623,0
561,SupplierA,69,2,Storm,153,17908,1
562,SupplierA,939,7,Cloudy,442,20858,1
563,SupplierE,802,6,Cloudy,168,7460,1
564,SupplierD,622,3,Cloudy,182,16986,1
565,SupplierD,940,6,Storm,361,15638,1
566,SupplierD,539,11,Clear,145,22212,1
567,SupplierC,468,6,Storm,483,5850,1
568,SupplierE,739,12,Cloudy,380,16299,1
569,SupplierD,899,5,Rain,192,13698,1
570,SupplierC,111,4,Rain,337,22348,1
571,SupplierB,194,10,Cloudy,77,7594,1
572,SupplierB,265,12,Rain,327,17282,1
573,SupplierC,52,1,Cloudy,282,19285,0
574,SupplierC,209,10,Rain,66,17334,1
575,SupplierE,788,6,Storm,108,9644,1
576,SupplierE,830,2,Clear,139,5850,1
577,SupplierB,169,13,Clear,248,17933,1
578,SupplierD,942,3,Storm,411,3165,1
579,SupplierB,138,14,Storm,490,13701,1
580,SupplierD,378,8,Cloudy,75,3919,0
581,SupplierD,629,10,Cloudy,74,11305,1
582,SupplierE,959,14,Cloudy,443,22888,1
583,SupplierA,406,14,Rain,350,20375,1
584,SupplierA,659,6,Cloudy,388,18715,1
585,SupplierC,316,3,Storm,316,6839,1
586,SupplierE,666,7,Clear,230,20642,1
587,SupplierD,372,4,Rain,409,14618,1
588,SupplierA,684,14,Cloudy,117,16519,1
589,SupplierD,590,9,Rain,400,24188,1
590,SupplierA,698,5,Rain,461,13776,1
591,SupplierA,244,3,Cloudy,370,3067,0
